"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","WAB_20min_12mon","WAB_30min_12mon","carotenoidtotal","betacarotenoid_nirs","branch_angle","branch_number","CBB_3mon","DM_gravity","DM_nirs","height_1st_branch","yield_ha","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","root_weight_plot","frogskin1_5","vigor1_5","lodging1_3","lodging1_3_6mon","root_number_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8"
2021,"202177DVGST_momi","202177DVGST_momi",1.3,2.8,"2021-July-03","2022-March-30","Momil. Cordoba, Colombia",NA,"202177DVGST_momi_rep1_COL1505_160",1,160,5,32,"test"," (Operator: lizbethpino, Time: ), Pt3 (Operator: lizbethpino, Time: )","COL1505","test",9.316666667,-75.65,17,"Cordoba","Colombia","Subhumid lowland tropics","momi",NA,NA,NA,NA,90,3,NA,35.1904309611568,NA,85,23.6263736263736,4,100,23.6263736263736,8.31422269961397,8.6,NA,3,1,NA,12,8,4,3,170,30,4,2,1,4,1,3950,423,NA,4,1,1,2,3
2021,"202177DVGST_momi","202177DVGST_momi",1.3,2.8,"2021-July-03","2022-March-30","Momil. Cordoba, Colombia",NA,"202177DVGST_momi_rep1_COL1722_286",1,286,9,30,"test"," (Operator: lizbethpino, Time: ), Pt4:Curve (Operator: lizbethpino, Time: )","COL1722","test",9.316666667,-75.65,17,"Cordoba","Colombia","Subhumid lowland tropics","momi",NA,NA,NA,NA,85,3,NA,32.9841013824885,NA,115,28.5714285714286,4,100,28.5714285714286,9.42402896642528,10.4,NA,4,1,NA,20,8,4,3,260,30,4,3,1,3,2,3600,345,NA,4,3,3,2,3
2021,"202177DVGST_momi","202177DVGST_momi",1.3,2.8,"2021-July-03","2022-March-30","Momil. Cordoba, Colombia",NA,"202177DVGST_momi_rep1_COL2215_187",1,187,6,6,"test","NonLeaf:Pt4 (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","COL2215_is_Venezolana","check_released",9.316666667,-75.65,17,"Cordoba","Colombia","Subhumid lowland tropics","momi",NA,NA,NA,NA,90,2,NA,31.655725304064,NA,75,17.5824175824176,4,100,17.5824175824176,5.56584181170356,6.4,NA,3,1,NA,10,6,4,4,165,10,4,3,2,4,2,3700,329,NA,4,1,3,1,1
2021,"202177DVGST_momi","202177DVGST_momi",1.3,2.8,"2021-July-03","2022-March-30","Momil. Cordoba, Colombia",NA,"202177DVGST_momi_rep1_CR138_80",1,80,3,16,"test"," (Operator: lizbethpino, Time: ), Pt3 (Operator: lizbethpino, Time: )","CR138","test",9.316666667,-75.65,17,"Cordoba","Colombia","Subhumid lowland tropics","momi",NA,NA,NA,NA,90,4,NA,29.0772748759158,NA,95,31.0439560439561,4,100,31.043956043956,9.02673643125958,11.3,NA,4,1,NA,18,8,4,3,220,30,4,3,3,3,2,4575,344,NA,4,2,3,3,2
2021,"202177DVGST_momi","202177DVGST_momi",1.3,2.8,"2021-July-03","2022-March-30","Momil. Cordoba, Colombia",NA,"202177DVGST_momi_rep1_CUB46_74",1,74,3,10,"test"," (Operator: lizbethpino, Time: ), Pt2:Non-br:NonLeaf (Operator: lizbethpino, Time: )","CUB46","test",9.316666667,-75.65,17,"Cordoba","Colombia","Subhumid lowland tropics","momi",NA,NA,NA,NA,90,1,NA,31.8406172839506,NA,155,34.0659340659341,4,100,34.0659340659341,10.846803690137,12.4,NA,4,1,NA,9,8,4,2,220,20,4,1,1,3,1,4450,400,NA,4,2,2,1,1
2021,"202177DVGST_momi","202177DVGST_momi",1.3,2.8,"2021-July-03","2022-March-30","Momil. Cordoba, Colombia",NA,"202177DVGST_momi_rep1_GM10054B-1_133",1,133,5,5,"test"," (Operator: lizbethpino, Time: ), Pt4:Curve (Operator: lizbethpino, Time: )","GM10054B-1","test",9.316666667,-75.65,17,"Cordoba","Colombia","Subhumid lowland tropics","momi",NA,NA,NA,NA,90,4,NA,35.1204176334107,NA,75,33.5164835164835,4,100,33.5164835164835,11.7711289870223,12.2,NA,4,1,NA,26,10,4,3,220,30,4,3,1,3,2,4825,515,NA,4,2,3,2,1
2021,"202177DVGST_momi","202177DVGST_momi",1.3,2.8,"2021-July-03","2022-March-30","Momil. Cordoba, Colombia",NA,"202177DVGST_momi_rep1_GM10055B-1_130",1,130,5,2,"test"," (Operator: lizbethpino, Time: ), Pt4:Tps3:NonLeaf (Operator: lizbethpino, Time: )","GM10055B-1","test",9.316666667,-75.65,17,"Cordoba","Colombia","Subhumid lowland tropics","momi",NA,NA,NA,NA,90,4,NA,33.3840723453909,NA,20,23.9010989010989,4,100,23.9010989010989,7.97916014848629,8.7,NA,3,1,NA,14,6,4,4,175,20,4,3,1,3,2,4750,465,NA,4,1,3,3,3
2021,"202177DVGST_momi","202177DVGST_momi",1.3,2.8,"2021-July-03","2022-March-30","Momil. Cordoba, Colombia",NA,"202177DVGST_momi_rep1_GM11129-11_381",1,381,12,4,"test"," (Operator: lizbethpino, Time: ), Pt2 (Operator: lizbethpino, Time: )","GM11129-11","test",9.316666667,-75.65,17,"Cordoba","Colombia","Subhumid lowland tropics","momi",NA,NA,NA,NA,75,3,NA,28.4213123763464,NA,75,18.956043956044,4,100,18.956043956044,5.38755646694479,6.9,NA,4,1,NA,12,8,4,2,215,20,4,2,2,4,3,4900,351,NA,4,1,4,1,1
2021,"202177DVGST_momi","202177DVGST_momi",1.3,2.8,"2021-July-03","2022-March-30","Momil. Cordoba, Colombia",NA,"202177DVGST_momi_rep1_GM11129-27_292",1,292,10,29,"test"," (Operator: lizbethpino, Time: ), Pt4 (Operator: lizbethpino, Time: )","GM11129-27","test",9.316666667,-75.65,17,"Cordoba","Colombia","Subhumid lowland tropics","momi",NA,NA,NA,NA,90,3,NA,31.39250317662,NA,80,17.9945054945055,4,100,17.9945054945055,5.6489257089797,6.55,NA,4,1,NA,14,6,4,3,195,20,4,3,1,4,2,3450,302,NA,4,2,2,2,3
2021,"202177DVGST_momi","202177DVGST_momi",1.3,2.8,"2021-July-03","2022-March-30","Momil. Cordoba, Colombia",NA,"202177DVGST_momi_rep1_GM11129-35_75",1,75,3,11,"test"," (Operator: lizbethpino, Time: ), Pt4:Lodging:NonLeaf (Operator: lizbethpino, Time: )","GM11129-35","test",9.316666667,-75.65,17,"Cordoba","Colombia","Subhumid lowland tropics","momi",NA,NA,NA,NA,85,4,NA,32.7826812428078,NA,65,36.1263736263736,4,100,36.1263736263736,11.8431939105199,13.15,NA,5,2,NA,18,10,4,3,250,40,4,3,2,3,3,4800,455,NA,4,2,3,1,1
