"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","WAB_20min_10mon","WAB_30min_10mon","carotenoidtotal","betacarotenoid_nirs","branch_number","DM_nirs","height_1st_branch","frogskin1_5","vigor1_5","lodging1_3","planted_number_plot","plant_type","harvest_number","mites_3mon","root_skin_color1_3","root_type1_5","root_rot_number","germinated_number_plot","thrips1_5","carotenoid1_8","harvest_number_plan","germination_perc"
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14174A-3_16",1,16,1,16,"test"," (Operator: lizbethpino, Time: )","GM14174A-3","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",2.57558790593504,3.54609929078014,0.6567906,0.3319844,3,37.8945885,55,1,3,1,5,3,2,NA,3,3,3,5,NA,2,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14174A-4_322",1,322,11,2,"test"," (Operator: lizbethpino, Time: )","GM14174A-4","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",2.34969136855028,3.12723800429695,0.6122888,0.5144691,3,39.1425476,90,1,4,1,5,3,2,NA,2,2,9,5,NA,1,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14174A-5_291",1,291,10,30,"test"," (Operator: lizbethpino, Time: )","GM14174A-5","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",3.43935474052654,8.23314563993302,1.1682444,1.2093389,3,39.461338,100,1,4,1,5,3,2,NA,3,3,17,5,NA,2,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14174A-6_391",1,391,13,7,"test"," (Operator: lizbethpino, Time: )","GM14174A-6","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",3.22283609576427,3.45961589055511,1.455084,0.8060294,4,37.2881622,75,1,4,1,5,2,2,NA,3,2,3,5,NA,2,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14174A-7_566",1,566,18,11,"test"," (Operator: lizbethpino, Time: )","GM14174A-7","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",2.8523175079752,2.96490898855319,0.5689086,0.4336033,5,36.5328941,110,1,5,1,5,3,2,NA,3,2,6,5,NA,2,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14174A-8_237",1,237,8,20,"test"," (Operator: lizbethpino, Time: )","GM14174A-8","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,1.1084149,0.4314523,3,40.6477623,45,1,3,1,5,4,2,NA,2,3,26,5,NA,1,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14178A-10_525",1,525,17,13,"test"," (Operator: lizbethpino, Time: )","GM14178A-10","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,0.6730547,0.1318597,5,41.8841858,35,1,3,1,5,5,2,NA,3,2,0,5,NA,1,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14178A-11_815",1,815,26,18,"test"," (Operator: lizbethpino, Time: )","GM14178A-11","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,0.3246926,0.1093503,4,36.3758545,15,1,1,1,5,5,2,NA,3,4,2,5,NA,2,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14178A-12_152",1,152,5,24,"test"," (Operator: lizbethpino, Time: )","GM14178A-12","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,1.15167,0.8648552,3,41.184597,25,1,3,1,5,4,2,NA,3,3,7,5,NA,2,NA,100
2022,"202258DVGST_ciat","202258DVGST_ciat",1.2,4,"2022-July-27","2023-June-07","CIAT. Valle, Colombia",NA,"202258DVGST_ciat_rep1_GM14178A-13_734",1,734,23,30,"test"," (Operator: lizbethpino, Time: )","GM14178A-13","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",5.40981145026706,13.6425062742659,1.3849484,0.9213349,3,42.6214104,70,1,3,1,5,4,2,NA,3,2,1,5,NA,2,NA,100
