"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","WAB_20min_12mon","WAB_30min_12mon","branch_angle","branch_number","CBB_3mon","DM_gravity","DM_nirs","height_1st_branch","yield_ha","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","root_weight_plot","frogskin1_5","vigor1_5","lodging1_3","lodging1_3_6mon","root_number_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8"
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_GM13168B-21_136",1,136,4,45,"test","No raiz (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","GM13168B-21","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,0,NA,NA,NA,140,NA,4,60,NA,NA,NA,NA,3,1,NA,17,NA,5,4,140,10,3,NA,1,5,NA,NA,NA,NA,3,NA,3,4,NA
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_GM13168B-22_172",1,172,4,9,"test"," (Operator: lizbethpino, Time: )","GM13168B-22","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,4,NA,31.05299431,NA,100,12.6953125,4,80,12.6953125,3.94227466826172,6.5,1,4,1,NA,14,NA,5,2,230,20,4,3,1,3,3,4420,379,0,4,2,3,2,1
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_GM13168B-23_331",1,331,8,30,"test"," (Operator: lizbethpino, Time: )","GM13168B-23","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,0,NA,30.87759347,NA,210,12.5,4,100,12.5,3.85969918375,6.4,1,4,1,NA,20,NA,5,3,210,20,4,3,1,2,3,4150,352,0,5,2,2,3,1
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_GM13625B-10_206",1,206,5,26,"test"," (Operator: lizbethpino, Time: )","GM13625B-10","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,4,NA,35.22523732,NA,55,15.625,4,80,15.625,5.50394333125,8,1,4,1,NA,18,NA,5,3,160,20,4,3,1,2,3,4130,443,2,4,2,3,1,3
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_GM13625B-6_529",1,529,12,12,"test"," (Operator: lizbethpino, Time: )","GM13625B-6","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,3,NA,30.86794501,NA,110,9.9609375,4,100,9.9609375,3.07473670998047,5.1,1,3,1,NA,16,NA,5,4,170,10,3,3,1,3,3,4530,384,0,5,2,2,1,3
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_GM13625B-7_130",1,130,3,40,"test"," (Operator: lizbethpino, Time: )","GM13625B-7","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,3,NA,36.65983419,NA,90,8.7890625,4,100,8.7890625,3.22205573935547,4.5,1,3,1,NA,16,NA,5,3,180,20,4,3,1,3,3,3950,452,0,5,2,3,1,4
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_GM13625B-8_405",1,405,9,45,"test"," (Operator: lizbethpino, Time: )","GM13625B-8","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,4,NA,33.38917953,NA,60,16.015625,4,100,16.015625,5.34748578410156,8.2,1,4,1,NA,10,NA,5,4,170,10,4,3,1,2,3,4810,471,1,5,1,3,1,4
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_GM13625B-9_713",1,713,16,8,"test"," (Operator: lizbethpino, Time: )","GM13625B-9","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,3,NA,35.50476137,NA,100,15.234375,4,80,15.234375,5.40892848996094,7.8,1,4,1,NA,34,NA,5,3,170,10,3,1,1,2,3,4960,539,0,4,2,3,1,3
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_GM13676B-10_654",1,654,15,24,"test"," (Operator: lizbethpino, Time: )","GM13676B-10","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,0,NA,33.17527387,NA,230,6.0546875,4,40,6.0546875,2.00865916009766,3.1,1,4,1,NA,12,NA,5,2,230,30,1,3,1,3,3,2830,274,0,2,1,3,1,5
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_GM13676B-11_282",1,282,7,12,"test"," (Operator: lizbethpino, Time: )","GM13676B-11","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,3,NA,32.48572395,NA,70,6.640625,4,80,6.640625,2.15725510605469,3.4,1,4,1,NA,6,NA,5,3,190,20,3,3,1,3,3,3260,304,0,4,2,3,1,2
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_GM13676B-12_101",1,101,3,11,"test"," (Operator: lizbethpino, Time: )","GM13676B-12","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,0,NA,32.36771467,NA,230,6.8359375,4,100,6.8359375,2.21263674501953,3.5,1,4,1,NA,22,NA,5,2,230,20,3,3,1,3,2,3260,302,0,5,2,3,1,1
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_GM13676B-13_618",1,618,14,13,"test"," (Operator: lizbethpino, Time: )","GM13676B-13","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,3,NA,33.15091491,NA,70,8.3984375,4,100,8.3984375,2.78415886939453,4.3,1,4,1,NA,3,NA,5,2,190,10,4,3,1,3,3,3630,351,0,5,3,3,1,3
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_GM13676B-14_237",1,237,6,34,"test"," (Operator: lizbethpino, Time: )","GM13676B-14","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,2,NA,35.66064704,NA,110,11.71875,4,60,11.71875,4.178982075,6,1,3,1,NA,14,NA,5,3,180,20,3,3,2,3,3,3280,359,0,3,2,3,1,3
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_GM13676B-15_669",1,669,15,39,"test"," (Operator: lizbethpino, Time: )","GM13676B-15","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,2,NA,31.50650558,NA,50,17.578125,4,100,17.578125,5.53825293398437,9,1,4,2,NA,20,NA,5,3,220,20,4,3,1,1,3,4720,416,0,5,1,2,2,5
2022,"202256DVGST_stom","202256DVGST_stom",1.6,4,"2022-July-15","2023-April-03","Santo Tomas. Atlantico, Colombia",NA,"202256DVGST_stom_rep1_GM13676B-16_139",1,139,4,42,"test"," (Operator: lizbethpino, Time: )","GM13676B-16","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,3,NA,31.27901207,NA,70,15.625,4,80,15.625,4.8873456359375,8,1,4,1,NA,16,NA,5,3,170,20,3,3,1,1,3,4900,426,3,4,1,3,1,3
